14:20:09.440 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:55.698 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:56.889 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:58.049 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:59.209 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:00.383 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:01.575 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:02.742 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:03.902 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:05.068 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:06.257 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:07.412 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:08.582 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:09.771 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:10.958 -> Temperature: 21.94⸮C  |  71.49⸮F
14:21:12.118 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:13.281 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:14.497 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:15.635 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:16.804 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:17.962 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:19.148 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:20.306 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:21.492 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:22.673 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:23.829 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:24.992 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:26.185 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:27.338 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:28.524 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:29.692 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:30.878 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:32.034 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:33.204 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:34.392 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:35.548 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:36.739 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:37.895 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:39.069 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:40.233 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:41.432 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:42.583 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:43.775 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:44.940 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:46.098 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:47.288 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:48.448 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:49.608 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:50.796 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:51.952 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:53.153 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:54.315 -> Temperature: 21.81⸮C  |  71.26⸮F
14:21:55.499 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:56.670 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:57.836 -> Temperature: 21.87⸮C  |  71.37⸮F
14:21:58.990 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:00.171 -> Temperature: 21.87⸮C  |  71.37⸮F
14:22:01.328 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:02.519 -> Temperature: 21.87⸮C  |  71.37⸮F
14:22:03.682 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:04.845 -> Temperature: 21.87⸮C  |  71.37⸮F
14:22:06.045 -> Temperature: 21.87⸮C  |  71.37⸮F
14:22:07.195 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:08.381 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:09.536 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:10.731 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:11.890 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:13.059 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:14.252 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:15.421 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:16.582 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:17.751 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:18.926 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:20.087 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:21.282 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:22.444 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:23.605 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:24.778 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:25.950 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:27.137 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:28.307 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:29.468 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:30.663 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:31.824 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:32.990 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:34.174 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:35.332 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:36.510 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:37.670 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:38.847 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:40.036 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:41.186 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:42.359 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:43.530 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:44.713 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:45.879 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:47.041 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:48.216 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:49.403 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:50.570 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:51.753 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:52.921 -> Temperature: 21.87⸮C  |  71.37⸮F
14:22:54.079 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:55.272 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:56.440 -> Temperature: 21.81⸮C  |  71.26⸮F
14:22:57.624 -> Temperature: 21.87⸮C  |  71.37⸮F
14:22:58.778 -> Temperature: 21.87⸮C  |  71.37⸮F
14:22:59.943 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:01.130 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:02.293 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:03.453 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:04.645 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:05.814 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:06.968 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:08.167 -> Temperature: 21.81⸮C  |  71.26⸮F
14:23:09.330 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:10.485 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:11.681 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:12.852 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:14.010 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:15.171 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:16.345 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:17.537 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:18.701 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:19.865 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:21.061 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:22.214 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:23.399 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:24.556 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:25.722 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:26.916 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:28.069 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:29.263 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:30.416 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:31.606 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:32.763 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:33.956 -> Temperature: 21.94⸮C  |  71.49⸮F
14:23:35.123 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:36.292 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:37.451 -> Temperature: 21.94⸮C  |  71.49⸮F
14:23:38.643 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:39.797 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:40.987 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:42.148 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:43.313 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:44.480 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:45.647 -> Temperature: 21.94⸮C  |  71.49⸮F
14:23:46.835 -> Temperature: 21.94⸮C  |  71.49⸮F
14:23:47.991 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:49.178 -> Temperature: 21.94⸮C  |  71.49⸮F
14:23:50.370 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:51.529 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:52.710 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:53.875 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:55.030 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:56.199 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:57.391 -> Temperature: 21.94⸮C  |  71.49⸮F
14:23:58.548 -> Temperature: 21.87⸮C  |  71.37⸮F
14:23:59.736 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:00.913 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:02.077 -> Temperature: 21.87⸮C  |  71.37⸮F
14:24:03.245 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:04.418 -> Temperature: 21.87⸮C  |  71.37⸮F
14:24:05.592 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:06.756 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:07.944 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:09.114 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:10.279 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:11.435 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:12.627 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:13.783 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:14.978 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:16.145 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:17.326 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:18.486 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:19.647 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:20.814 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:22.011 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:23.181 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:24.335 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:25.525 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:26.702 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:27.846 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:29.039 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:30.217 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:31.385 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:32.534 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:33.709 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:34.898 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:36.072 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:37.237 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:38.422 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:39.576 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:40.762 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:41.916 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:43.101 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:44.258 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:45.451 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:46.626 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:47.787 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:48.951 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:50.112 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:51.311 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:52.462 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:53.645 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:54.833 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:55.995 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:57.148 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:58.333 -> Temperature: 21.94⸮C  |  71.49⸮F
14:24:59.523 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:00.682 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:01.864 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:03.022 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:04.208 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:05.359 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:06.547 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:07.697 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:08.901 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:10.058 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:11.212 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:12.395 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:13.581 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:14.736 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:15.907 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:17.103 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:18.263 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:19.417 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:20.605 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:21.766 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:22.934 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:24.135 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:25.298 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:26.463 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:27.649 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:28.808 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:29.972 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:31.167 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:32.326 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:33.483 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:34.677 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:35.844 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:37.000 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:38.181 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:39.371 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:40.531 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:41.687 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:42.873 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:44.061 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:45.217 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:46.401 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:47.555 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:48.738 -> Temperature: 22.00⸮C  |  71.60⸮F
14:25:49.905 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:51.099 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:52.248 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:53.441 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:54.596 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:55.781 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:56.930 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:58.114 -> Temperature: 21.94⸮C  |  71.49⸮F
14:25:59.297 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:00.442 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:01.635 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:02.791 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:03.977 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:05.132 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:06.326 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:07.482 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:08.665 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:09.820 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:11.011 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:12.164 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:13.354 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:14.512 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:15.703 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:16.859 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:18.043 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:19.197 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:20.383 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:21.564 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:22.724 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:23.905 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:25.065 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:26.233 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:27.398 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:28.581 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:29.745 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:30.940 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:32.097 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:33.286 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:34.446 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:35.609 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:36.797 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:37.952 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:39.140 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:40.322 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:41.472 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:42.661 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:43.838 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:44.988 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:46.186 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:47.330 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:48.515 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:49.674 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:50.853 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:52.042 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:53.200 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:54.362 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:55.530 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:56.712 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:57.904 -> Temperature: 21.94⸮C  |  71.49⸮F
14:26:59.071 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:00.241 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:01.396 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:02.593 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:03.742 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:04.923 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:06.087 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:07.262 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:08.436 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:09.619 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:10.779 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:11.968 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:13.130 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:14.317 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:15.471 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:16.653 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:17.810 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:18.993 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:20.147 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:21.332 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:22.522 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:23.681 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:24.856 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:26.012 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:27.210 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:28.381 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:29.543 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:30.711 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:31.866 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:33.062 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:34.219 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:35.394 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:36.575 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:37.731 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:38.923 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:40.080 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:41.243 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:42.432 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:43.613 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:44.762 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:45.955 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:47.105 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:48.293 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:49.477 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:50.634 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:51.825 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:52.982 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:54.142 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:55.323 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:56.489 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:57.673 -> Temperature: 21.94⸮C  |  71.49⸮F
14:27:58.857 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:00.036 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:01.183 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:02.371 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:03.527 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:04.717 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:05.882 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:07.036 -> Temperature: 21.94⸮C  |  71.49⸮F
14:28:08.223 -> Temperature: 21.94⸮C  |  71.49⸮F
